Voltage (mV),Block Error Rate (CDF),Static Power (mW),Access Energy (nJ)
1000,4.8597E-08,673.95077,0.06094
990,7.3478E-08,659.57876,0.06073
980,1.1080E-07,644.94674,0.06053
970,1.6663E-07,630.94272,0.06033
960,2.4992E-07,617.11468,0.06012
950,3.7379E-07,603.89462,0.05992
940,5.5752E-07,591.27054,0.05972
930,8.2922E-07,578.80643,0.05951
920,1.2298E-06,566.50226,0.05931
910,1.8188E-06,554.36602,0.05911
900,2.6819E-06,542.78969,0.05890
890,3.9433E-06,531.37321,0.05870
880,5.7807E-06,520.34053,0.05850
870,8.4491E-06,509.45957,0.05829
860,1.2312E-05,498.80222,0.05809
850,1.7887E-05,488.51634,0.05789
840,2.5906E-05,478.41370,0.05769
830,3.7405E-05,468.44603,0.05748
820,5.3839E-05,458.72495,0.05728
810,7.7249E-05,449.25232,0.05708
800,1.1048E-04,439.87385,0.05688
790,1.5751E-04,430.80417,0.05667
780,2.2382E-04,421.89482,0.05647
770,3.1700E-04,413.14372,0.05627
760,4.4749E-04,404.54702,0.05607
750,6.2956E-04,396.16694,0.05587
740,8.8270E-04,387.83011,0.05567
730,1.2334E-03,379.82839,0.05546
720,1.7173E-03,371.82392,0.05526
710,2.3827E-03,364.06539,0.05506
700,3.2939E-03,356.34780,0.05486
690,4.5368E-03,348.72027,0.05466
680,6.2250E-03,341.16390,0.05446
670,8.5083E-03,333.71393,0.05426
660,1.1582E-02,326.22141,0.05406
650,1.5701E-02,318.82625,0.05386
640,2.1192E-02,311.33737,0.05366
630,2.8469E-02,303.73158,0.05346
620,3.8056E-02,295.97434,0.05325
610,5.0600E-02,287.91376,0.05305
600,6.6884E-02,279.62576,0.05285
590,8.7838E-02,270.84340,0.05265
580,1.1452E-01,261.57931,0.05245
570,1.4809E-01,251.76890,0.05225
560,1.8972E-01,241.27887,0.05205
550,2.4046E-01,230.08562,0.05185
540,3.0103E-01,218.30925,0.05165
530,3.7155E-01,205.96721,0.05145
520,4.5117E-01,193.28835,0.05126
510,5.3782E-01,180.63545,0.05106
500,6.2796E-01,168.49459,0.05086
490,7.1676E-01,157.33383,0.05066
480,7.9865E-01,147.72702,0.05046
470,8.6837E-01,140.04664,0.05026
460,9.2229E-01,134.44727,0.05006
450,9.5944E-01,130.80074,0.04986
440,9.8176E-01,128.72848,0.04966
430,9.9313E-01,127.72672,0.04946
420,9.9791E-01,127.32770,0.04927
410,9.9950E-01,127.20143,0.04907
400,9.9991E-01,127.17062,0.04887
390,9.9999E-01,127.16514,0.04867
380,1.0000E+00,127.16406,0.04847
370,1.0000E+00,127.16440,0.04827
360,1.0000E+00,127.16400,0.04808
350,1.0000E+00,127.16400,0.04788
340,1.0000E+00,127.16440,0.04768
330,1.0000E+00,127.16400,0.04748
320,1.0000E+00,127.16400,0.04729
310,1.0000E+00,127.16440,0.04709
300,1.0000E+00,127.16440,0.04689
290,1.0000E+00,127.16408,0.04669
280,1.0000E+00,127.16416,0.04650
270,1.0000E+00,127.16432,0.04630
260,1.0000E+00,127.16436,0.04610
250,1.0000E+00,127.16440,0.04590
240,1.0000E+00,127.16412,0.04571
230,1.0000E+00,127.16424,0.04551
220,1.0000E+00,127.16432,0.04531
210,1.0000E+00,127.16440,0.04512
200,1.0000E+00,127.16428,0.04492
190,1.0000E+00,127.16412,0.04472
180,1.0000E+00,127.16436,0.04453
170,1.0000E+00,127.16420,0.04433
160,1.0000E+00,127.16416,0.04414
150,1.0000E+00,127.16436,0.04394
140,1.0000E+00,127.16408,0.04374
130,1.0000E+00,127.16428,0.04355
120,1.0000E+00,127.16424,0.04335
110,1.0000E+00,127.16424,0.04316
100,1.0000E+00,127.16404,0.04296
