Voltage (mV),Effective BER,Static Power (mW),Access Energy (nJ)
1000,9.4915E-11,19638.77115,0.36184
990,4.8596E-11,19178.85075,0.36106
980,7.2898E-11,18710.65016,0.36027
970,1.0905E-10,18262.44931,0.35949
960,1.6266E-10,17820.04808,0.35870
950,2.4195E-10,17397.00630,0.35792
940,3.5884E-10,16992.96372,0.35713
930,5.3066E-10,16594.08002,0.35635
920,7.8244E-10,16200.47471,0.35556
910,1.1503E-09,15812.02714,0.35478
900,1.6859E-09,15441.65633,0.35399
890,2.4635E-09,15076.24100,0.35321
880,3.5887E-09,14723.25927,0.35242
870,5.2117E-09,14375.02864,0.35164
860,7.5450E-09,14033.98558,0.35085
850,1.0888E-08,13704.88516,0.35007
840,1.5663E-08,13381.52081,0.34929
830,2.2459E-08,13062.56348,0.34850
820,3.2099E-08,12751.60074,0.34772
810,4.5725E-08,12448.41575,0.34694
800,6.4918E-08,12148.30630,0.34616
790,9.1859E-08,11858.08133,0.34537
780,1.2954E-07,11572.98060,0.34459
770,1.8205E-07,11292.95009,0.34381
760,2.5495E-07,11017.83822,0.34303
750,3.5580E-07,10749.66927,0.34224
740,4.9479E-07,10482.88259,0.34146
730,6.8562E-07,10226.86756,0.34068
720,9.4662E-07,9970.70377,0.33990
710,1.3022E-06,9722.42605,0.33912
700,1.7848E-06,9475.45514,0.33834
690,2.4370E-06,9231.38055,0.33756
680,3.3152E-06,8989.59608,0.33678
670,4.4926E-06,8751.17268,0.33600
660,6.0649E-06,8511.40916,0.33522
650,8.1558E-06,8274.77700,0.33444
640,1.0924E-05,8035.13450,0.33366
630,1.4575E-05,7791.76327,0.33288
620,1.9368E-05,7543.50096,0.33210
610,2.5634E-05,7285.57348,0.33132
600,3.3787E-05,7020.34843,0.33054
590,4.4351E-05,6739.34699,0.32976
580,5.7976E-05,6442.87645,0.32898
570,7.5467E-05,6128.95049,0.32821
560,9.7817E-05,5793.27888,0.32743
550,1.2624E-04,5435.05577,0.32665
540,1.6222E-04,5058.23713,0.32587
530,2.0753E-04,4663.29497,0.32509
520,2.6433E-04,4257.55250,0.32432
510,3.3515E-04,3852.66709,0.32354
500,4.2302E-04,3464.17881,0.32276
490,5.3148E-04,3107.01459,0.32199
480,6.6463E-04,2799.59264,0.32121
470,8.2722E-04,2553.82414,0.32043
460,1.0247E-03,2374.65627,0.31966
450,1.2631E-03,2257.96300,0.31888
440,1.5493E-03,2191.65918,0.31810
430,1.8910E-03,2159.59893,0.31733
420,2.2963E-03,2146.83445,0.31655
410,2.7741E-03,2142.77695,0.31578
400,3.3337E-03,2141.79518,0.31500
390,3.9849E-03,2141.61966,0.31423
380,4.7373E-03,2141.59387,0.31345
370,5.6005E-03,2141.59209,0.31268
360,6.5836E-03,2141.59200,0.31190
350,7.6943E-03,2141.59600,0.31113
340,8.9391E-03,2141.59200,0.31036
330,1.0322E-02,2141.59200,0.30958
320,1.1845E-02,2141.59200,0.30881
310,1.3507E-02,2141.59200,0.30803
300,1.5300E-02,2141.59600,0.30726
290,1.7215E-02,2141.59600,0.30649
280,1.9236E-02,2141.59600,0.30572
270,2.1342E-02,2141.59200,0.30494
260,2.3506E-02,2141.59200,0.30417
250,2.5695E-02,2141.59200,0.30340
240,2.7872E-02,2141.59600,0.30263
230,2.9993E-02,2141.59600,0.30185
220,3.2014E-02,2141.59200,0.30108
210,3.3884E-02,2141.59200,0.30031
200,3.5555E-02,2141.59200,0.29954
190,3.6979E-02,2141.59200,0.29877
180,3.8112E-02,2141.59600,0.29800
170,3.8913E-02,2141.59600,0.29723
160,3.9353E-02,2141.59600,0.29646
150,3.9408E-02,2141.59200,0.29569
140,3.9068E-02,2141.59200,0.29492
130,3.8334E-02,2141.59440,0.29414
120,3.7219E-02,2141.59320,0.29338
110,3.5748E-02,2141.59400,0.29261
100,3.3959E-02,2141.59400,0.29184
,,,
