Voltage (mV),Effective BER,Static Power (mW),Access Energy (nJ)
1000,9.4915E-11,157.35671,0.02607
990,4.8596E-11,153.76351,0.02596
980,7.2898E-11,150.10591,0.02585
970,1.0905E-10,146.60430,0.02575
960,1.6266E-10,143.14789,0.02564
950,2.4195E-10,139.84308,0.02553
940,3.5884E-10,136.68626,0.02542
930,5.3066E-10,133.57043,0.02531
920,7.8244E-10,130.49498,0.02521
910,1.1503E-09,127.46033,0.02510
900,1.6859E-09,124.56684,0.02499
890,2.4635E-09,121.71192,0.02488
880,3.5887E-09,118.95435,0.02478
870,5.2117E-09,116.23371,0.02467
860,7.5450E-09,113.56938,0.02456
850,1.0888E-08,110.99850,0.02446
840,1.5663E-08,108.47205,0.02435
830,2.2459E-08,105.98033,0.02424
820,3.2099E-08,103.55066,0.02414
810,4.5725E-08,101.18210,0.02403
800,6.4918E-08,98.83748,0.02392
790,9.1859E-08,96.57016,0.02382
780,1.2954E-07,94.34282,0.02371
770,1.8205E-07,92.15505,0.02360
760,2.5495E-07,90.00587,0.02350
750,3.5580E-07,87.91075,0.02339
740,4.9479E-07,85.82655,0.02328
730,6.8562E-07,83.82612,0.02318
720,9.4662E-07,81.82510,0.02307
710,1.3022E-06,79.88547,0.02297
700,1.7848E-06,77.95597,0.02286
690,2.4370E-06,76.04909,0.02276
680,3.3152E-06,74.16000,0.02265
670,4.4926E-06,72.29760,0.02255
660,6.0649E-06,70.42437,0.02244
650,8.1558E-06,68.57558,0.02234
640,1.0924E-05,66.70346,0.02223
630,1.4575E-05,64.80201,0.02213
620,1.9368E-05,62.86251,0.02202
610,2.5634E-05,60.84747,0.02192
600,3.3787E-05,58.77547,0.02181
590,4.4351E-05,56.57997,0.02171
580,5.7976E-05,54.26385,0.02160
570,7.5467E-05,51.81133,0.02150
560,9.7817E-05,49.18874,0.02139
550,1.2624E-04,46.39042,0.02129
540,1.6222E-04,43.44633,0.02118
530,2.0753E-04,40.36089,0.02108
520,2.6433E-04,37.19116,0.02098
510,3.3515E-04,34.02798,0.02087
500,4.2302E-04,30.99267,0.02077
490,5.3148E-04,28.20248,0.02067
480,6.6463E-04,25.80080,0.02056
470,8.2722E-04,23.88069,0.02046
460,1.0247E-03,22.48094,0.02036
450,1.2631E-03,21.56920,0.02025
440,1.5493E-03,21.05124,0.02015
430,1.8910E-03,20.80080,0.02005
420,2.2963E-03,20.70097,0.01994
410,2.7741E-03,20.66938,0.01984
400,3.3337E-03,20.66166,0.01974
390,3.9849E-03,20.66026,0.01963
380,4.7373E-03,20.66017,0.01953
370,5.6005E-03,20.66010,0.01943
360,6.5836E-03,20.66004,0.01933
350,7.6943E-03,20.66006,0.01922
340,8.9391E-03,20.66018,0.01912
330,1.0322E-02,20.66016,0.01902
320,1.1845E-02,20.66014,0.01892
310,1.3507E-02,20.66012,0.01882
300,1.5300E-02,20.66022,0.01871
290,1.7215E-02,20.66014,0.01861
280,1.9236E-02,20.66012,0.01851
270,2.1342E-02,20.66012,0.01841
260,2.3506E-02,20.66014,0.01831
250,2.5695E-02,20.66012,0.01821
240,2.7872E-02,20.66012,0.01811
230,2.9993E-02,20.66012,0.01800
220,3.2014E-02,20.66012,0.01790
210,3.3884E-02,20.66012,0.01780
200,3.5555E-02,20.66014,0.01770
190,3.6979E-02,20.66012,0.01760
180,3.8112E-02,20.66012,0.01750
170,3.8913E-02,20.66012,0.01740
160,3.9353E-02,20.66012,0.01730
150,3.9408E-02,20.66014,0.01720
140,3.9068E-02,20.66012,0.01710
130,3.8334E-02,20.66012,0.01700
120,3.7219E-02,20.66012,0.01690
110,3.5748E-02,20.66012,0.01680
100,3.3959E-02,20.66013,0.01670
,,,
